time,precip_rate,TMP_2maboveground,SPFH_2maboveground,UGRD_10maboveground,VGRD_10maboveground,PRES_surface,DSWRF_surface,DLWRF_surface
2015-12-01 00:00:00,0.00000000,271.37,0.00300, 1.045, 2.345,102113.5,  0.00,225.95
2015-12-01 01:00:00,0.00000000,270.57,0.00285, 1.212, 2.344,102126.0,  0.00,225.06
2015-12-01 02:00:00,0.00000000,270.01,0.00275, 1.382, 2.343,102141.4,  0.00,224.94
2015-12-01 03:00:00,0.00000000,269.46,0.00265, 1.556, 2.344,102155.7,  0.00,204.79
2015-12-01 04:00:00,0.00000000,269.20,0.00260, 1.441, 1.960,102091.8,  0.00,204.68
2015-12-01 05:00:00,0.00000000,268.94,0.00254, 1.327, 1.580,102027.3,  0.00,204.52
2015-12-01 06:00:00,0.00000000,268.69,0.00249, 1.216, 1.197,101962.4,  0.00,204.86
2015-12-01 07:00:00,0.00000000,268.65,0.00250, 1.206, 1.054,101996.5,  0.00,204.67
2015-12-01 08:00:00,0.00000000,268.62,0.00251, 1.196, 0.911,102032.8,  0.00,204.44
2015-12-01 09:00:00,0.00000000,268.59,0.00253, 1.188, 0.769,102065.9,  0.00,204.70
2015-12-01 10:00:00,0.00000000,268.75,0.00255, 0.420, 0.881,102078.2,  0.00,204.53
2015-12-01 11:00:00,0.00000000,268.92,0.00257,-0.348, 0.989,102091.6,  0.00,204.31
2015-12-01 12:00:00,0.00000000,269.08,0.00259,-1.117, 1.102,102104.0,  0.00,209.05
2015-12-01 13:00:00,0.00000000,270.36,0.00269,-1.815, 1.091,102070.6,150.33,208.68
2015-12-01 14:00:00,0.00000000,271.67,0.00280,-2.505, 1.087,102034.5,275.91,208.45
2015-12-01 15:00:00,0.00000000,272.95,0.00289,-3.197, 1.075,102003.8,305.33,248.91
2015-12-01 16:00:00,0.00000000,273.35,0.00297,-3.245, 1.197,101940.8,352.91,248.61
2015-12-01 17:00:00,0.00000000,273.75,0.00305,-3.285, 1.321,101877.0,352.84,248.34
2015-12-01 18:00:00,0.00000000,274.15,0.00312,-3.322, 1.443,101814.0,155.12,300.52
2015-12-01 19:00:00,0.00005795,273.80,0.00326,-3.527, 1.505,101730.2,119.67,300.15
2015-12-01 20:00:00,0.00000000,273.45,0.00340,-3.731, 1.570,101646.6, 68.92,299.78
2015-12-01 21:00:00,0.00000000,273.10,0.00353,-3.940, 1.640,101560.6,  2.00,316.10
2015-12-01 22:00:00,0.00000000,273.99,0.00382,-3.537, 1.358,101489.0,  0.00,319.53
2015-12-01 23:00:00,0.00000000,274.90,0.00414,-3.137, 1.068,101421.3,  0.00,323.12
2015-12-02 00:00:00,0.00007065,275.79,0.00448,-2.739, 0.784,101351.7,  0.00,329.48
2015-12-02 01:00:00,0.00000502,274.79,0.00417,-2.636, 0.705,101263.6,  0.00,324.34
2015-12-02 02:00:00,0.00004073,273.76,0.00387,-2.543, 0.625,101181.5,  0.00,319.11
2015-12-02 03:00:00,0.00016368,272.76,0.00361,-2.438, 0.549,101096.1,  0.00,316.01
2015-12-02 04:00:00,0.00005379,272.85,0.00364,-2.520, 0.063,101005.4,  0.00,315.67
2015-12-02 05:00:00,0.00000000,272.95,0.00368,-2.595,-0.419,100911.5,  0.00,315.33
2015-12-02 06:00:00,0.00000000,273.04,0.00371,-2.671,-0.899,100820.8,  0.00,319.93
2015-12-02 07:00:00,0.00000000,273.19,0.00374,-2.455,-0.886,100751.2,  0.00,320.45
2015-12-02 08:00:00,0.00000000,273.34,0.00376,-2.232,-0.869,100682.0,  0.00,321.01
2015-12-02 09:00:00,0.00000000,273.49,0.00378,-2.011,-0.855,100613.1,  0.00,322.73
2015-12-02 10:00:00,0.00000000,273.57,0.00380,-1.569,-0.742,100600.5,  0.00,323.26
2015-12-02 11:00:00,0.00000000,273.65,0.00382,-1.128,-0.630,100585.5,  0.00,323.79
2015-12-02 12:00:00,0.00000000,273.73,0.00384,-0.686,-0.517,100573.3,  0.00,327.20
2015-12-02 13:00:00,0.00000078,274.35,0.00397,-0.273,-0.126,100556.4, 38.56,327.62
2015-12-02 14:00:00,0.00011458,274.98,0.00410, 0.142, 0.265,100541.4, 71.43,328.09
2015-12-02 15:00:00,0.00029464,275.60,0.00424, 0.546, 0.663,100524.8, 99.16,333.02
2015-12-02 16:00:00,0.00015142,275.73,0.00428, 0.660, 0.944,100400.4,114.74,332.45
2015-12-02 17:00:00,0.00011116,275.88,0.00433, 0.772, 1.229,100276.0,114.82,331.95
2015-12-02 18:00:00,0.00023601,276.01,0.00437, 0.882, 1.510,100154.1,106.39,333.17
2015-12-02 19:00:00,0.00049175,276.30,0.00450, 0.940, 1.783,100095.2, 82.02,333.66
2015-12-02 20:00:00,0.00040333,276.60,0.00464, 0.998, 2.047,100038.6, 47.12,334.17
2015-12-02 21:00:00,0.00012712,276.89,0.00477, 1.052, 2.319, 99980.1,  2.25,333.25
2015-12-02 22:00:00,0.00013144,276.95,0.00483, 0.950, 2.162, 99896.1,  0.00,333.97
2015-12-02 23:00:00,0.00012531,277.02,0.00491, 0.843, 2.010, 99810.8,  0.00,334.75
2015-12-03 00:00:00,0.00002090,277.08,0.00497, 0.742, 1.853, 99727.1,  0.00,338.94
2015-12-03 01:00:00,0.00002730,277.44,0.00508, 0.841, 1.985, 99686.1,  0.00,339.12
2015-12-03 02:00:00,0.00000000,277.81,0.00519, 0.945, 2.118, 99648.8,  0.00,339.36
2015-12-03 03:00:00,0.00000000,278.18,0.00530, 1.047, 2.248, 99608.3,  0.00,340.93
2015-12-03 04:00:00,0.00003468,278.50,0.00545, 1.640, 1.656, 99535.3,  0.00,341.44
2015-12-03 05:00:00,0.00047897,278.84,0.00560, 2.234, 1.059, 99462.7,  0.00,341.98
2015-12-03 06:00:00,0.00000000,279.17,0.00575, 2.824, 0.466, 99390.5,  0.00,314.36
2015-12-03 07:00:00,0.00000000,278.67,0.00556, 2.860, 0.008, 99370.7,  0.00,314.64
