time,precip_rate,TMP_2maboveground,SPFH_2maboveground,UGRD_10maboveground,VGRD_10maboveground,PRES_surface,DSWRF_surface,DLWRF_surface
2015-12-01 00:00:00,0.00000000,271.56,0.00304, 1.042, 2.301,102407.4,  0.00,230.52
2015-12-01 01:00:00,0.00000000,270.81,0.00289, 1.229, 2.316,102416.7,  0.00,229.77
2015-12-01 02:00:00,0.00000000,270.25,0.00279, 1.425, 2.332,102427.8,  0.00,229.65
2015-12-01 03:00:00,0.00000000,269.70,0.00269, 1.621, 2.344,102436.7,  0.00,205.81
2015-12-01 04:00:00,0.00000000,269.36,0.00262, 1.491, 1.942,102372.1,  0.00,205.65
2015-12-01 05:00:00,0.00000000,269.00,0.00254, 1.363, 1.543,102308.2,  0.00,205.45
2015-12-01 06:00:00,0.00000000,268.65,0.00247, 1.235, 1.135,102243.7,  0.00,205.44
2015-12-01 07:00:00,0.00000000,268.63,0.00249, 1.213, 0.984,102279.6,  0.00,205.28
2015-12-01 08:00:00,0.00000000,268.61,0.00250, 1.191, 0.832,102314.1,  0.00,205.09
2015-12-01 09:00:00,0.00000000,268.59,0.00252, 1.171, 0.682,102351.4,  0.00,205.11
2015-12-01 10:00:00,0.00000000,268.82,0.00255, 0.409, 0.762,102362.7,  0.00,204.98
2015-12-01 11:00:00,0.00000000,269.05,0.00258,-0.348, 0.842,102373.1,  0.00,204.82
2015-12-01 12:00:00,0.00000000,269.28,0.00261,-1.109, 0.925,102385.6,  0.00,209.51
2015-12-01 13:00:00,0.00000000,270.59,0.00272,-1.793, 0.944,102351.5,152.78,209.14
2015-12-01 14:00:00,0.00000000,271.95,0.00284,-2.479, 0.967,102319.5,279.81,208.96
2015-12-01 15:00:00,0.00000000,273.26,0.00294,-3.162, 0.986,102285.1,316.19,248.98
2015-12-01 16:00:00,0.00000000,273.66,0.00302,-3.200, 1.112,102226.7,366.29,248.69
2015-12-01 17:00:00,0.00000000,274.08,0.00309,-3.234, 1.234,102167.9,365.52,248.49
2015-12-01 18:00:00,0.00000000,274.48,0.00317,-3.261, 1.358,102107.4,163.30,299.91
2015-12-01 19:00:00,0.00005510,274.13,0.00332,-3.443, 1.404,102025.0,125.88,299.55
2015-12-01 20:00:00,0.00000000,273.77,0.00346,-3.626, 1.454,101937.9, 72.40,299.18
2015-12-01 21:00:00,0.00000000,273.41,0.00360,-3.807, 1.503,101852.6,  2.15,317.11
2015-12-01 22:00:00,0.00000000,274.31,0.00390,-3.421, 1.240,101780.7,  0.00,320.41
2015-12-01 23:00:00,0.00000000,275.23,0.00423,-3.032, 0.968,101714.4,  0.00,323.81
2015-12-02 00:00:00,0.00004442,276.13,0.00457,-2.645, 0.702,101642.9,  0.00,330.43
2015-12-02 01:00:00,0.00000976,275.25,0.00429,-2.563, 0.640,101554.0,  0.00,325.82
2015-12-02 02:00:00,0.00001871,274.35,0.00403,-2.491, 0.572,101467.4,  0.00,321.13
2015-12-02 03:00:00,0.00015298,273.47,0.00378,-2.410, 0.514,101377.0,  0.00,318.41
2015-12-02 04:00:00,0.00004566,273.62,0.00384,-2.476, 0.023,101282.5,  0.00,318.31
2015-12-02 05:00:00,0.00000000,273.78,0.00389,-2.535,-0.471,101193.7,  0.00,318.24
2015-12-02 06:00:00,0.00000000,273.94,0.00395,-2.592,-0.953,101100.3,  0.00,323.21
2015-12-02 07:00:00,0.00000000,274.09,0.00397,-2.410,-0.952,101031.4,  0.00,323.74
2015-12-02 08:00:00,0.00000000,274.26,0.00399,-2.217,-0.943,100962.2,  0.00,324.33
2015-12-02 09:00:00,0.00000000,274.41,0.00401,-2.035,-0.943,100893.3,  0.00,326.21
2015-12-02 10:00:00,0.00000000,274.43,0.00401,-1.562,-0.823,100874.2,  0.00,326.47
2015-12-02 11:00:00,0.00000000,274.45,0.00402,-1.085,-0.712,100855.0,  0.00,326.68
2015-12-02 12:00:00,0.00000000,274.47,0.00403,-0.614,-0.593,100838.7,  0.00,330.06
2015-12-02 13:00:00,0.00000000,275.01,0.00413,-0.202,-0.205,100826.9, 38.98,330.19
2015-12-02 14:00:00,0.00012358,275.56,0.00424, 0.212, 0.182,100815.9, 72.07,330.40
2015-12-02 15:00:00,0.00029781,276.10,0.00435, 0.617, 0.576,100804.0,100.03,334.84
2015-12-02 16:00:00,0.00009742,276.18,0.00439, 0.726, 0.891,100677.7,116.04,334.12
2015-12-02 17:00:00,0.00010913,276.25,0.00443, 0.825, 1.211,100555.2,115.90,333.42
2015-12-02 18:00:00,0.00025000,276.33,0.00446, 0.930, 1.525,100429.4,105.12,334.59
2015-12-02 19:00:00,0.00046181,276.59,0.00458, 0.982, 1.828,100372.3, 81.02,334.97
2015-12-02 20:00:00,0.00037199,276.86,0.00470, 1.036, 2.122,100315.1, 46.47,335.39
2015-12-02 21:00:00,0.00012873,277.12,0.00482, 1.083, 2.418,100257.0,  2.25,334.06
2015-12-02 22:00:00,0.00013020,277.16,0.00488, 0.974, 2.217,100172.7,  0.00,334.69
2015-12-02 23:00:00,0.00009486,277.20,0.00494, 0.861, 2.020,100090.1,  0.00,335.36
2015-12-03 00:00:00,0.00000000,277.23,0.00500, 0.753, 1.819,100004.8,  0.00,339.49
2015-12-03 01:00:00,0.00000000,277.60,0.00511, 0.835, 1.980, 99964.7,  0.00,339.68
2015-12-03 02:00:00,0.00000000,277.97,0.00523, 0.922, 2.132, 99925.0,  0.00,339.94
2015-12-03 03:00:00,0.00000000,278.34,0.00534, 1.012, 2.287, 99882.8,  0.00,341.62
2015-12-03 04:00:00,0.00000535,278.68,0.00549, 1.566, 1.722, 99807.9,  0.00,342.16
2015-12-03 05:00:00,0.00043821,279.03,0.00565, 2.120, 1.165, 99730.7,  0.00,342.78
2015-12-03 06:00:00,0.00000000,279.36,0.00581, 2.675, 0.603, 99653.1,  0.00,317.46
2015-12-03 07:00:00,0.00000000,278.85,0.00562, 2.758, 0.110, 99638.5,  0.00,317.71
2015-12-03 08:00:00,0.00000000,278.33,0.00542, 2.828,-0.382, 99623.1,  0.00,317.71
2015-12-03 09:00:00,0.00000000,277.82,0.00523, 2.908,-0.873, 99607.4,  0.00,265.80
2015-12-03 10:00:00,0.00000000,277.38,0.00507, 2.848,-0.501, 99602.0,  0.00,266.27
2015-12-03 11:00:00,0.00000000,276.94,0.00490, 2.784,-0.127, 99597.2,  0.00,266.90
2015-12-03 12:00:00,0.00000000,276.50,0.00474, 2.720, 0.252, 99590.9,  0.00,250.62
2015-12-03 13:00:00,0.00000000,277.34,0.00474, 4.135,-0.319, 99635.0,139.65,250.43
2015-12-03 14:00:00,0.00000000,278.20,0.00476, 5.547,-0.882, 99677.2,260.72,250.38
2015-12-03 15:00:00,0.00000000,279.05,0.00477, 6.966,-1.442, 99723.8,214.64,287.42
2015-12-03 16:00:00,0.00000000,278.29,0.00443, 7.944,-2.508, 99778.3,249.38,287.53
2015-12-03 17:00:00,0.00000001,277.53,0.00408, 8.918,-3.567, 99831.3,249.19,287.60
2015-12-03 18:00:00,0.00000000,276.80,0.00374, 9.895,-4.629, 99890.7,152.86,294.07
2015-12-03 19:00:00,0.00000000,276.41,0.00358, 9.784,-4.447, 99999.3,117.74,294.79
2015-12-03 20:00:00,0.00000000,276.03,0.00341, 9.675,-4.266,100113.7, 67.44,295.50
2015-12-03 21:00:00,0.00000000,275.66,0.00326, 9.574,-4.080,100228.8,  3.14,292.82
2015-12-03 22:00:00,0.00000000,275.54,0.00327, 9.242,-4.363,100317.0,  0.00,294.10
2015-12-03 23:00:00,0.00000000,275.42,0.00327, 8.909,-4.643,100405.7,  0.00,295.34
2015-12-04 00:00:00,0.00000000,275.30,0.00327, 8.577,-4.923,100492.8,  0.00,269.90
2015-12-04 01:00:00,0.00000000,275.13,0.00329, 8.292,-4.698,100679.3,  0.00,270.01
2015-12-04 02:00:00,0.00000000,274.95,0.00330, 8.006,-4.472,100862.5,  0.00,270.00
2015-12-04 03:00:00,0.00000000,274.77,0.00331, 7.719,-4.240,101048.6,  0.00,270.52
2015-12-04 04:00:00,0.00000000,274.96,0.00339, 6.970,-4.117,101175.6,  0.00,271.48
2015-12-04 05:00:00,0.00000000,275.16,0.00346, 6.216,-3.989,101308.1,  0.00,272.46
2015-12-04 06:00:00,0.00000000,275.35,0.00354, 5.466,-3.861,101438.4,  0.00,256.08
2015-12-04 07:00:00,0.00000000,274.87,0.00350, 4.994,-3.319,101513.7,  0.00,255.90
2015-12-04 08:00:00,0.00000000,274.37,0.00345, 4.518,-2.769,101587.6,  0.00,255.64
2015-12-04 09:00:00,0.00000000,273.90,0.00341, 4.044,-2.230,101662.8,  0.00,227.92
2015-12-04 10:00:00,0.00000000,273.01,0.00324, 3.541,-2.020,101713.5,  0.00,227.23
2015-12-04 11:00:00,0.00000000,272.11,0.00306, 3.041,-1.822,101764.8,  0.00,226.42
2015-12-04 12:00:00,0.00000000,271.23,0.00289, 2.546,-1.613,101815.8,  0.00,220.24
2015-12-04 13:00:00,0.00000000,273.37,0.00316, 2.812,-1.312,101936.9,142.99,222.00
2015-12-04 14:00:00,0.00000000,275.56,0.00346, 3.078,-1.007,102057.3,269.48,223.91
2015-12-04 15:00:00,0.00000000,277.70,0.00376, 3.348,-0.711,102176.8,393.78,238.23
2015-12-04 16:00:00,0.00000000,278.78,0.00390, 3.913, 0.333,102198.7,458.05,239.32
2015-12-04 17:00:00,0.00000000,279.91,0.00405, 4.472, 1.375,102220.3,458.07,240.57
2015-12-04 18:00:00,0.00000000,281.00,0.00420, 5.032, 2.417,102244.8,374.23,248.10
2015-12-04 19:00:00,0.00000000,280.18,0.00421, 5.219, 1.920,102236.9,288.16,247.44
2015-12-04 20:00:00,0.00000000,279.34,0.00422, 5.403, 1.431,102228.9,164.79,246.71
2015-12-04 21:00:00,0.00000000,278.53,0.00424, 5.591, 0.946,102220.1,  3.27,257.05
2015-12-04 22:00:00,0.00000000,278.30,0.00428, 5.121,-0.298,102315.6,  0.00,257.26
2015-12-04 23:00:00,0.00000000,278.07,0.00433, 4.660,-1.539,102410.6,  0.00,257.50
2015-12-05 00:00:00,0.00000000,277.84,0.00438, 4.194,-2.771,102506.5,  0.00,247.77
2015-12-05 01:00:00,0.00000000,276.39,0.00402, 3.964,-2.472,102553.9,  0.00,245.15
2015-12-05 02:00:00,0.00000000,274.90,0.00366, 3.729,-2.165,102603.5,  0.00,242.37
2015-12-05 03:00:00,0.00000000,273.46,0.00335, 3.499,-1.865,102652.5,  0.00,228.64
2015-12-05 04:00:00,0.00000000,272.78,0.00320, 3.449,-1.907,102675.4,  0.00,227.42
2015-12-05 05:00:00,0.00000000,272.08,0.00305, 3.402,-1.944,102701.3,  0.00,226.11
2015-12-05 06:00:00,0.00000000,271.40,0.00292, 3.350,-1.987,102725.0,  0.00,222.93
2015-12-05 07:00:00,0.00000000,271.03,0.00283, 3.291,-1.854,102780.7,  0.00,222.39
2015-12-05 08:00:00,0.00000000,270.65,0.00274, 3.229,-1.729,102832.9,  0.00,221.85
2015-12-05 09:00:00,0.00000000,270.28,0.00266, 3.165,-1.597,102886.3,  0.00,221.67
2015-12-05 10:00:00,0.00000000,270.16,0.00262, 2.976,-1.594,102916.0,  0.00,221.28
2015-12-05 11:00:00,0.00000000,270.03,0.00259, 2.790,-1.589,102945.8,  0.00,220.95
2015-12-05 12:00:00,0.00000000,269.91,0.00257, 2.600,-1.584,102976.4,  0.00,225.17
2015-12-05 13:00:00,0.00000277,273.19,0.00308, 2.683,-1.471,103073.5,137.12,229.94
2015-12-05 14:00:00,0.00000469,276.57,0.00369, 2.771,-1.364,103171.0,260.92,235.08
2015-12-05 15:00:00,0.00000469,279.85,0.00435, 2.855,-1.251,103268.3,386.64,254.32
2015-12-05 16:00:00,0.00000469,281.26,0.00466, 2.774,-1.277,103157.6,450.53,256.68
2015-12-05 17:00:00,0.00000000,282.72,0.00500, 2.685,-1.299,103047.6,450.86,259.19
2015-12-05 18:00:00,0.00000000,284.14,0.00534, 2.598,-1.325,102937.5,373.38,260.99
2015-12-05 19:00:00,0.00000000,282.34,0.00508, 2.713,-0.392,102980.8,287.48,257.93
2015-12-05 20:00:00,0.00000000,280.50,0.00481, 2.822, 0.533,103021.2,164.12,254.69
2015-12-05 21:00:00,0.00000000,278.70,0.00457, 2.935, 1.457,103067.4,  3.10,239.43
2015-12-05 22:00:00,0.00000000,276.99,0.00414, 3.135, 0.922,103111.7,  0.00,236.56
2015-12-05 23:00:00,0.00000000,275.23,0.00372, 3.332, 0.395,103156.3,  0.00,233.52
2015-12-06 00:00:00,0.00000000,273.51,0.00334, 3.530,-0.140,103201.0,  0.00,225.11
2015-12-06 01:00:00,0.00000000,272.89,0.00317, 3.351,-0.367,103157.3,  0.00,223.83
2015-12-06 02:00:00,0.00000000,272.24,0.00300, 3.165,-0.591,103115.9,  0.00,222.50
2015-12-06 03:00:00,0.00000000,271.62,0.00284, 2.988,-0.817,103072.4,  0.00,217.56
2015-12-06 04:00:00,0.00000000,270.84,0.00271, 2.922,-0.556,103021.8,  0.00,216.06
2015-12-06 05:00:00,0.00000073,270.04,0.00259, 2.862,-0.303,102972.4,  0.00,214.44
2015-12-06 06:00:00,0.00000073,269.25,0.00247, 2.794,-0.046,102921.8,  0.00,211.71
2015-12-06 07:00:00,0.00000073,269.02,0.00244, 2.949, 0.238,102864.6,  0.00,211.22
2015-12-06 08:00:00,0.00000000,268.78,0.00241, 3.105, 0.525,102807.7,  0.00,210.71
2015-12-06 09:00:00,0.00000000,268.55,0.00238, 3.258, 0.810,102751.6,  0.00,209.60
2015-12-06 10:00:00,0.00000000,268.28,0.00233, 3.246, 0.411,102760.6,  0.00,209.13
2015-12-06 11:00:00,0.00000000,268.01,0.00228, 3.231, 0.010,102771.1,  0.00,208.64
2015-12-06 12:00:00,0.00000000,267.74,0.00223, 3.216,-0.389,102782.5,  0.00,209.82
2015-12-06 13:00:00,0.00000000,271.78,0.00283, 2.990,-0.030,102706.0,137.50,216.03
2015-12-06 14:00:00,0.00000000,275.93,0.00358, 2.753, 0.332,102626.4,264.16,222.61
2015-12-06 15:00:00,0.00000000,279.97,0.00441, 2.529, 0.688,102548.9,390.81,242.84
2015-12-06 16:00:00,0.00000000,281.88,0.00478, 2.847, 0.580,102443.3,456.05,246.00
2015-12-06 17:00:00,0.00000000,283.85,0.00520, 3.174, 0.470,102338.9,456.80,249.44
2015-12-06 18:00:00,0.00000000,285.76,0.00561, 3.499, 0.371,102232.9,377.67,253.71
2015-12-06 19:00:00,0.00000000,283.36,0.00518, 3.369, 0.943,102165.6,290.78,249.86
2015-12-06 20:00:00,0.00000000,280.88,0.00475, 3.227, 1.517,102100.7,165.82,245.75
2015-12-06 21:00:00,0.00000000,278.48,0.00436, 3.097, 2.083,102030.7,  3.10,232.53
2015-12-06 22:00:00,0.00000000,277.01,0.00404, 3.113, 2.140,101977.7,  0.00,230.66
2015-12-06 23:00:00,0.00000000,275.51,0.00373, 3.125, 2.181,101923.0,  0.00,228.69
2015-12-07 00:00:00,0.00000000,274.04,0.00344, 3.142, 2.224,101868.6,  0.00,216.37
2015-12-07 01:00:00,0.00000000,273.78,0.00338, 3.292, 1.920,101804.1,  0.00,215.98
2015-12-07 02:00:00,0.00000000,273.51,0.00331, 3.443, 1.613,101740.9,  0.00,215.58
2015-12-07 03:00:00,0.00000000,273.25,0.00325, 3.584, 1.307,101677.9,  0.00,220.56
2015-12-07 04:00:00,0.00000000,272.80,0.00316, 3.627, 0.926,101640.4,  0.00,219.97
2015-12-07 05:00:00,0.00000000,272.34,0.00307, 3.668, 0.543,101604.2,  0.00,219.31
2015-12-07 06:00:00,0.00000000,271.89,0.00297, 3.712, 0.159,101568.9,  0.00,220.02
2015-12-07 07:00:00,0.00000000,271.84,0.00294, 3.691, 0.257,101515.8,  0.00,220.03
2015-12-07 08:00:00,0.00000000,271.80,0.00291, 3.677, 0.353,101462.1,  0.00,220.07
2015-12-07 09:00:00,0.00000000,271.76,0.00288, 3.657, 0.445,101408.2,  0.00,215.55
2015-12-07 10:00:00,0.00000000,271.30,0.00276, 3.596,-0.114,101381.5,  0.00,215.22
2015-12-07 11:00:00,0.00000000,270.83,0.00264, 3.531,-0.672,101350.3,  0.00,214.88
2015-12-07 12:00:00,0.00000000,270.38,0.00253, 3.472,-1.230,101323.1,  0.00,216.59
2015-12-07 13:00:00,0.00000000,274.00,0.00295, 3.508,-1.312,101322.7,141.50,220.78
2015-12-07 14:00:00,0.00000000,277.74,0.00345, 3.548,-1.396,101324.8,274.53,225.33
2015-12-07 15:00:00,0.00000000,281.36,0.00397, 3.584,-1.478,101324.8,384.80,238.32
2015-12-07 16:00:00,0.00000000,282.63,0.00403, 3.207,-1.481,101289.0,449.56,239.60
2015-12-07 17:00:00,0.00000000,283.94,0.00411, 2.824,-1.480,101249.1,450.72,240.99
2015-12-07 18:00:00,0.00000000,285.20,0.00418, 2.441,-1.487,101209.8,379.87,246.59
2015-12-07 19:00:00,0.00000000,283.36,0.00400, 2.355,-2.038,101252.6,292.44,244.67
2015-12-07 20:00:00,0.00000000,281.46,0.00381, 2.267,-2.586,101295.6,166.62,242.50
2015-12-07 21:00:00,0.00000000,279.62,0.00364, 2.184,-3.145,101338.2,  4.54,229.14
2015-12-07 22:00:00,0.00000000,278.69,0.00369, 1.174,-3.381,101396.9,  0.00,229.62
2015-12-07 23:00:00,0.00000000,277.73,0.00373, 0.172,-3.623,101456.5,  0.00,229.99
2015-12-08 00:00:00,0.00000000,276.80,0.00377,-0.841,-3.862,101513.7,  0.00,231.63
2015-12-08 01:00:00,0.00000000,276.34,0.00382,-1.192,-3.552,101468.6,  0.00,231.03
2015-12-08 02:00:00,0.00000000,275.86,0.00386,-1.539,-3.243,101419.6,  0.00,230.40
2015-12-08 03:00:00,0.00000000,275.40,0.00391,-1.895,-2.928,101374.0,  0.00,246.25
2015-12-08 04:00:00,0.00000000,275.46,0.00394,-1.584,-3.021,101419.3,  0.00,246.44
2015-12-08 05:00:00,0.00000000,275.52,0.00398,-1.269,-3.123,101464.3,  0.00,246.70
2015-12-08 06:00:00,0.00000000,275.58,0.00402,-0.960,-3.214,101506.5,  0.00,246.74
2015-12-08 07:00:00,0.00000000,275.55,0.00405,-1.437,-2.752,101496.1,  0.00,246.93
2015-12-08 08:00:00,0.00000000,275.52,0.00408,-1.920,-2.291,101478.4,  0.00,247.11
2015-12-08 09:00:00,0.00000000,275.49,0.00411,-2.401,-1.826,101466.6,  0.00,250.95
2015-12-08 10:00:00,0.00000000,275.79,0.00422,-2.306,-2.204,101510.6,  0.00,252.15
2015-12-08 11:00:00,0.00000000,276.08,0.00434,-2.215,-2.583,101555.2,  0.00,253.37
2015-12-08 12:00:00,0.00000000,276.37,0.00446,-2.121,-2.964,101599.2,  0.00,261.21
2015-12-08 13:00:00,0.00000000,277.30,0.00450,-2.739,-3.137,101643.8,122.09,261.99
2015-12-08 14:00:00,0.00000000,278.26,0.00456,-3.364,-3.306,101684.1,239.17,262.85
2015-12-08 15:00:00,0.00000000,279.19,0.00461,-3.981,-3.472,101727.4,326.80,277.68
2015-12-08 16:00:00,0.00000000,279.49,0.00462,-3.268,-3.256,101651.1,382.36,277.66
2015-12-08 17:00:00,0.00000000,279.80,0.00463,-2.548,-3.039,101576.8,383.59,277.67
2015-12-08 18:00:00,0.00000000,280.12,0.00464,-1.834,-2.821,101503.0,355.65,274.18
