time,precip_rate,TMP_2maboveground,SPFH_2maboveground,UGRD_10maboveground,VGRD_10maboveground,PRES_surface,DSWRF_surface,DLWRF_surface
2015-12-01 00:00:00,0.00000000,271.44,0.00301, 0.982, 2.268,102272.2,  0.00,226.59
2015-12-01 01:00:00,0.00000000,270.60,0.00286, 1.162, 2.278,102284.3,  0.00,225.62
2015-12-01 02:00:00,0.00000000,270.01,0.00275, 1.345, 2.288,102299.9,  0.00,225.47
2015-12-01 03:00:00,0.00000000,269.43,0.00265, 1.532, 2.300,102316.4,  0.00,204.93
2015-12-01 04:00:00,0.00000000,269.18,0.00259, 1.404, 1.899,102251.9,  0.00,204.82
2015-12-01 05:00:00,0.00000000,268.92,0.00253, 1.275, 1.498,102188.0,  0.00,204.67
2015-12-01 06:00:00,0.00000000,268.66,0.00248, 1.150, 1.096,102123.4,  0.00,205.07
2015-12-01 07:00:00,0.00000000,268.64,0.00249, 1.133, 0.958,102157.5,  0.00,204.89
2015-12-01 08:00:00,0.00000000,268.61,0.00251, 1.116, 0.819,102191.6,  0.00,204.69
2015-12-01 09:00:00,0.00000000,268.59,0.00252, 1.101, 0.678,102224.4,  0.00,204.98
2015-12-01 10:00:00,0.00000000,268.73,0.00254, 0.359, 0.778,102236.9,  0.00,204.78
2015-12-01 11:00:00,0.00000000,268.88,0.00256,-0.374, 0.876,102248.6,  0.00,204.51
2015-12-01 12:00:00,0.00000000,269.03,0.00258,-1.115, 0.972,102262.0,  0.00,209.36
2015-12-01 13:00:00,0.00000000,270.33,0.00268,-1.824, 0.985,102228.4,150.58,208.98
2015-12-01 14:00:00,0.00000000,271.66,0.00279,-2.520, 0.999,102190.5,276.18,208.74
2015-12-01 15:00:00,0.00000000,272.95,0.00288,-3.221, 1.006,102155.7,303.43,249.48
2015-12-01 16:00:00,0.00000000,273.33,0.00296,-3.267, 1.119,102095.7,350.92,249.16
2015-12-01 17:00:00,0.00000000,273.73,0.00304,-3.304, 1.229,102032.1,351.08,248.88
2015-12-01 18:00:00,0.00000000,274.11,0.00311,-3.340, 1.339,101972.1,155.32,300.32
2015-12-01 19:00:00,0.00010995,273.77,0.00325,-3.537, 1.390,101887.4,119.81,299.98
2015-12-01 20:00:00,0.00000000,273.41,0.00338,-3.737, 1.446,101803.4, 69.06,299.55
2015-12-01 21:00:00,0.00000000,273.07,0.00352,-3.939, 1.503,101716.5,  2.00,315.81
2015-12-01 22:00:00,0.00000000,273.93,0.00380,-3.535, 1.240,101645.3,  0.00,319.11
2015-12-01 23:00:00,0.00000000,274.81,0.00411,-3.129, 0.970,101572.7,  0.00,322.57
2015-12-02 00:00:00,0.00007475,275.68,0.00443,-2.727, 0.707,101499.5,  0.00,328.82
2015-12-02 01:00:00,0.00000000,274.67,0.00413,-2.621, 0.635,101417.1,  0.00,323.63
2015-12-02 02:00:00,0.00000077,273.63,0.00383,-2.523, 0.562,101334.4,  0.00,318.37
2015-12-02 03:00:00,0.00016274,272.62,0.00356,-2.415, 0.494,101246.9,  0.00,315.29
2015-12-02 04:00:00,0.00011159,272.74,0.00360,-2.489, 0.002,101157.9,  0.00,314.98
2015-12-02 05:00:00,0.00000000,272.86,0.00365,-2.557,-0.486,101063.5,  0.00,314.74
2015-12-02 06:00:00,0.00000000,272.98,0.00369,-2.623,-0.970,100972.7,  0.00,319.41
2015-12-02 07:00:00,0.00000000,273.12,0.00371,-2.418,-0.950,100903.4,  0.00,319.89
2015-12-02 08:00:00,0.00000000,273.27,0.00373,-2.209,-0.929,100834.1,  0.00,320.42
2015-12-02 09:00:00,0.00000000,273.42,0.00375,-2.001,-0.909,100765.3,  0.00,322.11
2015-12-02 10:00:00,0.00000000,273.49,0.00377,-1.531,-0.784,100753.4,  0.00,322.64
2015-12-02 11:00:00,0.00000000,273.57,0.00378,-1.064,-0.662,100735.5,  0.00,323.15
2015-12-02 12:00:00,0.00000000,273.64,0.00380,-0.597,-0.538,100727.9,  0.00,326.52
2015-12-02 13:00:00,0.00000019,274.27,0.00394,-0.195,-0.141,100707.3, 38.59,327.04
2015-12-02 14:00:00,0.00012648,274.92,0.00407, 0.209, 0.254,100695.8, 71.49,327.65
2015-12-02 15:00:00,0.00028806,275.54,0.00421, 0.606, 0.653,100675.1, 99.07,332.58
2015-12-02 16:00:00,0.00015001,275.70,0.00426, 0.696, 0.945,100551.2,114.71,332.12
2015-12-02 17:00:00,0.00012603,275.85,0.00431, 0.788, 1.236,100427.2,114.89,331.66
2015-12-02 18:00:00,0.00028821,276.00,0.00436, 0.877, 1.524,100306.4,105.67,333.10
2015-12-02 19:00:00,0.00050626,276.31,0.00450, 0.925, 1.800,100244.9, 81.47,333.68
2015-12-02 20:00:00,0.00041650,276.63,0.00464, 0.975, 2.068,100191.1, 46.83,334.29
2015-12-02 21:00:00,0.00012664,276.95,0.00478, 1.019, 2.340,100130.3,  2.25,333.43
2015-12-02 22:00:00,0.00014832,276.99,0.00484, 0.912, 2.166,100047.0,  0.00,334.10
2015-12-02 23:00:00,0.00013719,277.05,0.00491, 0.802, 1.994, 99964.1,  0.00,334.86
2015-12-03 00:00:00,0.00000088,277.10,0.00498, 0.696, 1.818, 99876.8,  0.00,338.88
2015-12-03 01:00:00,0.00004626,277.46,0.00508, 0.786, 1.954, 99839.2,  0.00,339.09
2015-12-03 02:00:00,0.00000000,277.83,0.00519, 0.874, 2.087, 99801.0,  0.00,339.37
2015-12-03 03:00:00,0.00000000,278.18,0.00529, 0.969, 2.216, 99760.3,  0.00,340.64
2015-12-03 04:00:00,0.00003767,278.48,0.00543, 1.557, 1.656, 99687.5,  0.00,341.09
2015-12-03 05:00:00,0.00047285,278.79,0.00557, 2.147, 1.089, 99612.3,  0.00,341.54
2015-12-03 06:00:00,0.00000000,279.09,0.00571, 2.732, 0.526, 99543.8,  0.00,313.51
2015-12-03 07:00:00,0.00000000,278.62,0.00554, 2.793, 0.069, 99523.3,  0.00,313.89
2015-12-03 08:00:00,0.00000000,278.14,0.00535, 2.846,-0.382, 99503.9,  0.00,314.03
2015-12-03 09:00:00,0.00000000,277.68,0.00517, 2.903,-0.836, 99484.5,  0.00,264.60
2015-12-03 10:00:00,0.00000000,277.22,0.00501, 2.862,-0.470, 99481.9,  0.00,265.06
2015-12-03 11:00:00,0.00000000,276.76,0.00484, 2.827,-0.104, 99477.7,  0.00,265.64
2015-12-03 12:00:00,0.00000000,276.30,0.00467, 2.785, 0.264, 99475.6,  0.00,249.87
2015-12-03 13:00:00,0.00000000,277.15,0.00468, 4.231,-0.358, 99526.6,138.24,249.81
2015-12-03 14:00:00,0.00000000,278.01,0.00469, 5.678,-0.973, 99568.3,258.41,249.82
2015-12-03 15:00:00,0.00000000,278.86,0.00469, 7.128,-1.589, 99612.3,207.97,288.33
2015-12-03 16:00:00,0.00000000,278.13,0.00436, 8.058,-2.617, 99671.3,241.21,288.50
2015-12-03 17:00:00,0.00000000,277.39,0.00402, 8.992,-3.638, 99724.4,241.69,288.55
2015-12-03 18:00:00,0.00000000,276.67,0.00368, 9.923,-4.662, 99776.5,162.04,291.75
2015-12-03 19:00:00,0.00000000,276.27,0.00353, 9.793,-4.459, 99892.3,124.90,292.35
2015-12-03 20:00:00,0.00000000,275.87,0.00336, 9.661,-4.254,100007.2, 71.71,292.91
2015-12-03 21:00:00,0.00000000,275.48,0.00320, 9.538,-4.047,100116.4,  3.50,289.89
2015-12-03 22:00:00,0.00000000,275.44,0.00323, 9.222,-4.304,100210.0,  0.00,291.56
2015-12-03 23:00:00,0.00000000,275.42,0.00326, 8.909,-4.564,100298.6,  0.00,293.20
2015-12-04 00:00:00,0.00000000,275.39,0.00329, 8.596,-4.823,100387.8,  0.00,271.24
2015-12-04 01:00:00,0.00000000,275.20,0.00330, 8.337,-4.611,100568.4,  0.00,271.22
2015-12-04 02:00:00,0.00000000,275.00,0.00330, 8.079,-4.393,100755.7,  0.00,271.12
2015-12-04 03:00:00,0.00000000,274.81,0.00331, 7.820,-4.180,100935.7,  0.00,270.63
2015-12-04 04:00:00,0.00000000,274.95,0.00338, 7.056,-4.062,101066.4,  0.00,271.45
2015-12-04 05:00:00,0.00000000,275.12,0.00345, 6.294,-3.938,101189.0,  0.00,272.30
2015-12-04 06:00:00,0.00000000,275.26,0.00352, 5.531,-3.820,101320.7,  0.00,254.67
2015-12-04 07:00:00,0.00000000,274.71,0.00347, 5.087,-3.293,101395.0,  0.00,254.28
2015-12-04 08:00:00,0.00000000,274.13,0.00340, 4.643,-2.766,101468.4,  0.00,253.79
2015-12-04 09:00:00,0.00000000,273.58,0.00335, 4.201,-2.240,101542.4,  0.00,226.70
2015-12-04 10:00:00,0.00000000,272.70,0.00318, 3.650,-2.029,101598.1,  0.00,225.87
2015-12-04 11:00:00,0.00000000,271.81,0.00300, 3.103,-1.808,101650.0,  0.00,224.97
2015-12-04 12:00:00,0.00000000,270.93,0.00284, 2.553,-1.592,101706.2,  0.00,218.85
2015-12-04 13:00:00,0.00000000,273.08,0.00311, 2.825,-1.313,101822.1,141.21,220.71
2015-12-04 14:00:00,0.00000000,275.28,0.00340, 3.098,-1.031,101941.0,266.49,222.72
2015-12-04 15:00:00,0.00000000,277.42,0.00370, 3.368,-0.753,102052.4,389.49,237.31
2015-12-04 16:00:00,0.00000000,278.59,0.00385, 3.915, 0.289,102079.4,452.44,238.61
2015-12-04 17:00:00,0.00000000,279.81,0.00402, 4.463, 1.325,102096.9,453.71,240.05
2015-12-04 18:00:00,0.00000000,280.98,0.00418, 5.005, 2.363,102123.4,372.07,248.34
2015-12-04 19:00:00,0.00000000,280.19,0.00420, 5.209, 1.883,102117.1,286.73,247.70
2015-12-04 20:00:00,0.00000000,279.38,0.00420, 5.411, 1.408,102109.0,164.29,246.98
2015-12-04 21:00:00,0.00000000,278.60,0.00422, 5.612, 0.928,102099.8,  3.72,259.30
2015-12-04 22:00:00,0.00000000,278.28,0.00425, 5.140,-0.314,102195.5,  0.00,259.25
2015-12-04 23:00:00,0.00000000,277.96,0.00427, 4.667,-1.557,102288.3,  0.00,259.18
2015-12-05 00:00:00,0.00000000,277.65,0.00430, 4.191,-2.796,102378.1,  0.00,247.25
2015-12-05 01:00:00,0.00000000,276.23,0.00396, 3.982,-2.502,102434.7,  0.00,244.78
2015-12-05 02:00:00,0.00000000,274.77,0.00362, 3.771,-2.201,102487.9,  0.00,242.15
2015-12-05 03:00:00,0.00000000,273.35,0.00332, 3.564,-1.908,102540.5,  0.00,227.75
2015-12-05 04:00:00,0.00000000,272.72,0.00319, 3.526,-1.951,102563.6,  0.00,226.66
2015-12-05 05:00:00,0.00000000,272.06,0.00305, 3.490,-1.987,102579.4,  0.00,225.50
2015-12-05 06:00:00,0.00000000,271.43,0.00293, 3.451,-2.029,102601.6,  0.00,222.54
2015-12-05 07:00:00,0.00000000,271.08,0.00284, 3.388,-1.874,102653.9,  0.00,222.08
2015-12-05 08:00:00,0.00000000,270.72,0.00276, 3.325,-1.719,102709.8,  0.00,221.59
2015-12-05 09:00:00,0.00000000,270.36,0.00268, 3.263,-1.570,102760.1,  0.00,221.42
2015-12-05 10:00:00,0.00000000,270.21,0.00265, 3.048,-1.558,102792.6,  0.00,221.01
2015-12-05 11:00:00,0.00000000,270.06,0.00261, 2.836,-1.554,102826.9,  0.00,220.57
2015-12-05 12:00:00,0.00000000,269.91,0.00258, 2.624,-1.542,102854.0,  0.00,224.79
2015-12-05 13:00:00,0.00000277,273.05,0.00306, 2.744,-1.446,102952.5,135.39,229.17
2015-12-05 14:00:00,0.00000469,276.28,0.00363, 2.866,-1.351,103052.2,258.04,233.84
2015-12-05 15:00:00,0.00000469,279.42,0.00423, 2.989,-1.256,103145.8,382.71,252.55
2015-12-05 16:00:00,0.00000469,280.86,0.00454, 2.881,-1.298,103034.1,445.09,254.94
2015-12-05 17:00:00,0.00000000,282.35,0.00488, 2.768,-1.339,102924.2,446.69,257.47
2015-12-05 18:00:00,0.00000000,283.79,0.00522, 2.651,-1.384,102813.8,371.22,259.52
2015-12-05 19:00:00,0.00000000,282.12,0.00500, 2.733,-0.461,102861.0,286.01,256.83
2015-12-05 20:00:00,0.00000000,280.40,0.00476, 2.811, 0.460,102900.9,163.65,253.98
2015-12-05 21:00:00,0.00000000,278.74,0.00455, 2.895, 1.386,102947.6,  3.47,239.23
2015-12-05 22:00:00,0.00000000,277.09,0.00414, 3.078, 0.862,102987.8,  0.00,236.56
2015-12-05 23:00:00,0.00000000,275.38,0.00373, 3.255, 0.341,103033.2,  0.00,233.70
2015-12-06 00:00:00,0.00000000,273.74,0.00338, 3.438,-0.180,103080.6,  0.00,225.41
2015-12-06 01:00:00,0.00000000,273.03,0.00319, 3.280,-0.393,103037.1,  0.00,223.91
2015-12-06 02:00:00,0.00000000,272.31,0.00300, 3.124,-0.604,102993.1,  0.00,222.32
2015-12-06 03:00:00,0.00000000,271.60,0.00283, 2.963,-0.815,102949.9,  0.00,217.21
2015-12-06 04:00:00,0.00000000,270.84,0.00270, 2.913,-0.570,102900.6,  0.00,215.73
2015-12-06 05:00:00,0.00000073,270.05,0.00258, 2.863,-0.328,102844.9,  0.00,214.16
2015-12-06 06:00:00,0.00000073,269.28,0.00246, 2.811,-0.087,102794.3,  0.00,211.47
2015-12-06 07:00:00,0.00000073,269.06,0.00243, 2.946, 0.193,102738.4,  0.00,210.98
2015-12-06 08:00:00,0.00000000,268.82,0.00240, 3.080, 0.473,102684.2,  0.00,210.48
2015-12-06 09:00:00,0.00000000,268.60,0.00237, 3.216, 0.753,102627.9,  0.00,209.42
2015-12-06 10:00:00,0.00000000,268.35,0.00233, 3.198, 0.367,102642.3,  0.00,209.02
2015-12-06 11:00:00,0.00000000,268.10,0.00229, 3.182,-0.017,102651.9,  0.00,208.60
2015-12-06 12:00:00,0.00000000,267.85,0.00224, 3.168,-0.401,102661.0,  0.00,209.76
2015-12-06 13:00:00,0.00000000,271.77,0.00282, 2.966,-0.056,102579.6,135.75,215.67
2015-12-06 14:00:00,0.00000000,275.80,0.00352, 2.755, 0.291,102505.8,261.21,222.03
2015-12-06 15:00:00,0.00000000,279.72,0.00430, 2.555, 0.633,102423.7,386.79,241.85
2015-12-06 16:00:00,0.00000000,281.68,0.00467, 2.887, 0.530,102322.1,450.53,245.14
2015-12-06 17:00:00,0.00000000,283.71,0.00510, 3.224, 0.426,102217.9,452.51,248.68
2015-12-06 18:00:00,0.00000000,285.67,0.00552, 3.556, 0.326,102112.3,375.49,253.21
2015-12-06 19:00:00,0.00000000,283.31,0.00510, 3.394, 0.876,102049.0,289.31,249.46
2015-12-06 20:00:00,0.00000000,280.87,0.00469, 3.222, 1.428,101985.7,165.32,245.47
2015-12-06 21:00:00,0.00000000,278.50,0.00431, 3.061, 1.977,101922.9,  3.47,232.66
2015-12-06 22:00:00,0.00000000,277.12,0.00401, 3.069, 2.049,101858.2,  0.00,231.02
2015-12-06 23:00:00,0.00000000,275.70,0.00372, 3.076, 2.113,101802.0,  0.00,229.24
2015-12-07 00:00:00,0.00000000,274.32,0.00345, 3.086, 2.174,101738.4,  0.00,216.80
2015-12-07 01:00:00,0.00000000,273.93,0.00336, 3.220, 1.876,101676.7,  0.00,216.19
2015-12-07 02:00:00,0.00000000,273.54,0.00327, 3.360, 1.575,101615.4,  0.00,215.57
2015-12-07 03:00:00,0.00000000,273.15,0.00318, 3.493, 1.273,101556.0,  0.00,220.22
2015-12-07 04:00:00,0.00000000,272.75,0.00310, 3.545, 0.907,101517.1,  0.00,219.73
2015-12-07 05:00:00,0.00000000,272.34,0.00302, 3.599, 0.537,101478.9,  0.00,219.20
2015-12-07 06:00:00,0.00000000,271.94,0.00294, 3.650, 0.169,101442.0,  0.00,219.97
2015-12-07 07:00:00,0.00000000,271.91,0.00291, 3.631, 0.262,101394.0,  0.00,219.99
2015-12-07 08:00:00,0.00000000,271.88,0.00288, 3.615, 0.352,101343.5,  0.00,220.06
2015-12-07 09:00:00,0.00000000,271.84,0.00285, 3.596, 0.442,101295.9,  0.00,215.59
2015-12-07 10:00:00,0.00000000,271.47,0.00276, 3.542,-0.090,101266.3,  0.00,215.41
2015-12-07 11:00:00,0.00000000,271.08,0.00266, 3.494,-0.628,101240.3,  0.00,215.22
2015-12-07 12:00:00,0.00000000,270.71,0.00256, 3.443,-1.164,101209.1,  0.00,216.59
2015-12-07 13:00:00,0.00000000,274.19,0.00296, 3.517,-1.265,101214.4,139.64,220.51
2015-12-07 14:00:00,0.00000000,277.78,0.00342, 3.599,-1.371,101215.3,271.34,224.78
2015-12-07 15:00:00,0.00000000,281.26,0.00390, 3.674,-1.473,101215.8,380.77,237.83
2015-12-07 16:00:00,0.00000000,282.58,0.00399, 3.297,-1.465,101173.1,444.15,239.24
2015-12-07 17:00:00,0.00000000,283.94,0.00410, 2.916,-1.448,101136.7,446.45,240.78
2015-12-07 18:00:00,0.00000000,285.25,0.00419, 2.535,-1.438,101094.3,377.73,246.37
2015-12-07 19:00:00,0.00000000,283.44,0.00403, 2.441,-1.976,101136.7,291.08,244.52
2015-12-07 20:00:00,0.00000000,281.58,0.00386, 2.351,-2.513,101180.6,166.19,242.43
2015-12-07 21:00:00,0.00000000,279.77,0.00370, 2.260,-3.058,101220.7,  5.48,229.55
