h_t,c_t
0.5837071999999999,2.2892478
0.45630565,24.683139999999998
-0.25206932,-3.6994252
-0.37166095,-0.6456847
-0.30656890000000003,-0.42842174
0.27183723,1.219325
-0.17876266,-1.0371552
-0.02780634,-0.17304827
0.06669601,0.32378759999999995
-0.047720864,-0.7729864000000001
0.012285903999999999,2.1170382
0.5063042999999999,1.8318998
-0.52689594,-4.4320330000000006
-0.031774174,-0.11989936
0.41094053,0.9363698
-0.7256749,-2.2602966
0.14160648,0.28853947
0.01376224,0.022653056
0.30832729999999997,0.38625878
-0.17112538,-2.5055752
-0.011110554,-0.11157102
0.6442816,1.8581351000000002
0.37657806,6.044690599999999
-0.26371145,-6.3729305
0.62026125,2.1062791
-0.038288966,-0.257002
0.00182938,0.018150566
-0.23601045,-19.755018
-0.3899565,-34.144394
0.24267267,17.37087
-0.049453218,-0.42685157
0.20250238,0.61426115
-0.24578029999999998,-8.621347
0.035158914,1.4606124
-0.024204907999999997,-0.059332177
-0.034732405,-0.047934785
-0.15106857,-24.732046
0.17509260000000001,0.27262077
0.3896375,1.1445392
0.03597575,0.12276972
-0.021792442000000002,-0.11902065
0.34512255,24.511696
-0.09290465,-0.9932924000000001
-0.04434412,-3.7446042999999998
0.038445894,1.746012
0.009597982,0.059213545
0.31944922,34.311596
0.39318806,45.157482
0.18522161,2.4411895
-0.023531957000000003,-0.44616145
-0.5961414,-9.920514
-0.026976151,-0.11608828
-0.5170627999999999,-1.7369477
-0.23018187,-2.4658206000000003
-0.5251526,-15.702093
0.42119876,39.641903000000006
0.21901211,0.26723903
-0.5208255,-6.9851894
0.13666318,1.1384846000000002
0.5216429,33.795753000000005
-0.08868793400000001,-9.8349285
0.61349183,0.95007384
-0.49493667,-5.9246225
0.6023435,18.984592000000003
