,0,1,2,3,4,5,6,7,8,9,10
0,0.051688142,-0.21443944,0.3565045,0.7725164,0.34741968,-0.2561041,0.32013133,-0.069970064,-0.1502215,0.12426089,-0.6938697
1,0.21778639,-0.18622027,0.09795758,-0.056976017,0.20882432,-0.40493688,0.0646246,0.11234967,-0.34080777,-0.0833439,0.13470517
2,-0.013238695,0.51881945,0.48604563,0.8585254,0.4908077,0.10110869,0.24295859,-0.25338918,-0.25353214,-0.005147221,0.14796294
3,0.23178275,-0.5704965,0.34253815,0.13344619,0.57637924,-0.20406175,-0.06557602,-0.752485,-0.37823576,0.009320695,-0.2532063
4,-0.044068974,0.8378293,0.041438587,-0.45947108,0.02056834,0.06814014,-0.3185622,0.014377171,0.41588828,-0.03200443,0.120070115
5,0.1632261,0.38941646,0.32668218,0.52505696,0.3636293,0.20591864,0.056637645,0.09179171,0.03778839,0.020776067,0.16118473
6,0.48799685,-0.23372084,0.14077953,-0.10810098,-0.2525763,0.12979211,-0.50169176,0.08742804,-0.3696344,-0.055576626,0.16211261
7,0.08230562,-0.0034744113,0.42832777,0.5622577,0.75015223,-0.42881912,0.0999841,-0.16567051,-0.541932,0.2269805,-0.01410412
8,-0.1827504,0.17090316,0.09162384,-0.1330085,-0.19643927,0.14158514,0.14213297,-0.003831761,-0.20981976,-0.00046277352,0.071431726
9,0.024862235,-0.1695668,0.04169559,0.34038725,-0.124878585,-0.050125536,-0.2852273,-0.024428573,-0.56269884,-0.14377558,0.11748285
10,0.23420258,-0.51340723,-0.236251,-0.20183687,-0.11063434,-0.5038458,0.20957589,-0.25709608,-0.5775203,-0.19125389,-0.22036602
11,-0.4709837,-0.059193138,0.16144392,-0.20575419,-0.42736822,-0.07620306,0.42825055,0.19065428,-0.397252,0.054290377,-0.26948893
12,0.14112544,-0.36028934,0.035614323,0.32278377,0.097631395,0.047599338,-0.15213849,0.17531422,0.08343979,-0.15951568,0.16716544
13,0.2770493,0.020421658,0.272982,0.15096012,0.40995014,-0.12323697,0.18174703,0.13135846,0.04394685,-0.3885064,0.27704966
14,-0.75105315,0.05893523,-0.033968322,0.07258113,0.21065831,0.07022388,0.1529226,-0.18101156,-0.34949932,-0.019333027,-0.05657217
15,-0.010850041,0.5085004,0.08424238,-0.5015975,0.71622825,0.41417918,-0.47447264,0.33378068,0.04188268,0.21500726,0.19085175
16,0.25269184,-0.2092656,-0.33687526,0.09739021,-0.4179134,-0.7324406,-0.17538325,-0.028847191,-0.224669,-0.25474823,0.015669292
17,0.13761343,-0.1380212,0.23536865,-0.023621354,0.08420705,0.030413687,-0.06474011,-0.26012126,0.025589192,0.30674675,0.15458232
18,-0.0017642807,-0.027104083,0.20159987,-0.05979852,0.2501079,0.25298283,0.39792433,0.55760086,-0.16999193,-0.16169818,0.08378129
19,-0.26978534,0.5416272,0.28958505,0.13322026,0.15455449,0.10033527,0.31689322,0.22572827,0.1777835,-0.19541346,0.27988476
20,-0.04829218,-0.14696361,-0.064267464,-0.1253504,0.16557337,0.159146,-0.0720445,0.7625188,-0.05377493,-0.31486386,0.28799278
21,-0.028164836,0.1433323,-0.56674284,-0.57700205,0.11902033,0.3175931,0.14157377,-0.10127948,-0.03874511,-0.075728826,0.23408765
22,-0.15108998,-0.43985125,0.54979354,0.21732806,1.3072876,-0.11594102,0.2544422,-0.4300983,0.20926338,-0.4788529,0.08276992
23,0.20136008,-0.026816197,-0.05266994,-0.3843384,0.3557766,-0.3057472,0.3101912,-0.18691698,-0.45015398,-0.022831589,-0.018988088
24,-0.007793644,0.11567848,-0.46276385,-0.6189349,-0.47817755,0.18170498,0.73411345,-0.23866719,0.040388163,-0.28903717,0.1616067
25,0.14575015,0.7365729,0.27794462,0.9582428,0.09522928,0.54625356,-0.23658425,-0.11659125,0.4197264,-0.26550075,0.16994987
26,-0.30516058,0.19444099,0.5068293,0.3465174,0.12365241,0.26668167,0.11818525,-0.14292683,-0.19674927,0.09135351,0.06269603
