,0
0,-0.13181628
1,-0.093815126
2,-0.090557784
3,-0.5220574
4,-0.20347802
5,-0.12790784
6,-0.20207678
7,-0.20795539
8,-0.3986516
9,-0.5381498
10,-0.45676976
11,-0.12289402
12,-0.23396109
13,-0.059503008
14,-0.15908666
15,-0.14736755
16,-0.17623234
17,-0.7307853
18,-0.0917455
19,-0.09940957
20,-0.35046443
21,-0.18821555
22,-0.033429336
23,-0.4710434
24,-0.35738376
25,-0.20938553
26,-0.08914429
27,-0.27565148
28,-0.25791684
29,-0.05070751
30,0.43261477
31,0.024567723
32,-0.20159113
33,-0.31692255
34,0.06986979
35,-0.5927257
36,-0.12612213
37,-0.4805707
38,0.16972838
39,-0.48957357
40,-0.24445479
41,-0.3114425
42,-0.46520957
43,-0.2620518
44,-0.41634506
45,-0.28239658
46,-0.46508113
47,0.040668927
48,-0.18784384
49,-0.28265426
50,-0.34468406
51,-0.34496006
52,-0.35095093
53,0.0795812
54,-0.32490602
55,-0.41835967
56,-0.44878477
57,-0.28170317
58,-0.029522296
59,-0.3080216
60,-0.14732651
61,-0.47537315
62,-0.4038427
63,-0.28270653
64,0.061049514
65,-0.19724914
66,0.007572039
67,-0.0858093
68,0.01970033
69,0.065212354
70,-0.038755808
71,0.052717034
72,-0.23620315
73,-0.13052143
74,0.038711216
75,0.024709215
76,-0.29714656
77,0.024566753
78,-0.14045705
79,-0.031852134
80,0.013527504
81,-0.2257584
82,-0.0052808523
83,0.14181818
84,-0.0500959
85,0.036698245
86,0.013849539
87,-0.17158383
88,-0.04210397
89,-0.10532924
90,-0.15236689
91,-0.37065533
92,-0.017462982
93,0.16021673
94,0.28839454
95,0.0061090295
96,-0.26549333
97,0.033426803
98,0.1418786
99,0.11601173
100,-0.1163811
101,-0.24998775
102,0.16022123
103,-0.3552391
104,-0.07498854
105,-0.04064454
106,-0.21379386
107,-0.07632018
108,-0.02630385
109,0.035980616
110,-0.19511464
111,0.028880386
112,-0.028463041
113,-0.08675763
114,-0.029797835
115,-0.21474741
116,-0.16371657
117,-0.22465792
118,-0.045628164
119,-0.07563366
120,-0.08733796
121,-0.23991562
122,0.041579645
123,-0.010037767
124,0.091951884
125,-0.28063226
126,-0.03733729
127,-0.003373569
128,0.06711219
129,0.17794968
130,0.04532587
131,-0.1312193
132,-0.06564036
133,-0.020018559
134,-0.28591985
135,0.07164464
136,0.21830136
137,0.026050925
138,0.010661832
139,0.04342185
140,-0.020208484
141,0.16256909
142,0.0012775661
143,0.069693446
144,-0.01454702
145,0.069609344
146,-0.11910255
147,-0.10674737
148,-0.043419488
149,-0.20312704
150,-0.058705505
151,-0.007957809
152,0.005831615
153,-0.036992103
154,-0.07342479
155,-0.24538395
156,-0.085178815
157,0.2475922
158,-0.33793205
159,-0.05730663
160,-0.008987342
161,0.11000944
162,-0.11429477
163,0.013972509
164,-0.18021595
165,-0.18501966
166,0.11963184
167,-0.016809626
168,0.00018481279
169,-0.08958915
170,-0.052934784
171,-0.03328131
172,0.08234774
173,-0.03209264
174,-0.12886344
175,0.112750255
176,-0.098997235
177,0.10623255
178,-0.279786
179,0.021355907
180,0.19828808
181,-0.3160565
182,-0.2161203
183,-0.2114133
184,-0.11799238
185,-0.1730557
186,0.0903289
187,-0.015453188
188,-0.0114231715
189,-0.085694276
190,0.053300053
191,-0.20978859
192,0.015016821
193,-0.10222061
194,-0.0042444956
195,-0.4009533
196,-0.3540237
197,0.10899816
198,-0.19627061
199,0.23349819
200,-0.4382496
201,-0.35622424
202,-0.37013704
203,-0.38203776
204,-0.1060315
205,-0.10966522
206,-0.5665511
207,0.14430545
208,-0.14952034
209,-0.44113788
210,-0.47387043
211,0.039842125
212,-0.3329367
213,0.3048641
214,-0.07549257
215,-0.41933253
216,-0.3905134
217,0.06850422
218,-0.31574693
219,-0.1653558
220,0.05911334
221,0.20724489
222,-0.21061672
223,0.014448447
224,-0.20564875
225,0.06215464
226,-0.19792584
227,-0.55924547
228,0.04756528
229,-0.46759513
230,-0.25422496
231,-0.31194687
232,-0.38182312
233,-0.09567157
234,-0.506481
235,0.027768107
236,-0.17034753
237,0.0055519133
238,-0.27391908
239,-0.02730894
240,-0.6136374
241,-0.382859
242,0.20751755
243,-0.25448844
244,-0.49138907
245,-0.3705844
246,0.30070394
247,-0.4115604
248,-0.33758956
249,-0.3837004
250,0.026909772
251,-0.10131862
252,-0.6345532
253,-0.5021993
254,-0.23871878
255,0.036071524
